Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-09,ADA-USD,USD,0.37,0.38,0.36,0.38,0.38,272785226,0.01,2.70,23967385600
2024-07-09,ATOM-USD,USD,5.83,5.97,5.79,5.94,5.94,129225754,0.11,1.89,1506169472
2024-07-09,AVAX-USD,USD,25.22,26.47,24.78,26.42,26.42,349286751,1.20,4.76,8681321472
2024-07-09,BNB-USD,USD,510.54,520.65,507.27,516.57,516.57,1586240513,6.03,1.18,156638248960
2024-07-09,BTC-USD,USD,56704.60,58239.20,56316.88,58009.23,58009.23,2079708831,1304.63,2.30,2272121585664
2024-07-09,DOGE-USD,USD,0.11,0.11,0.11,0.11,0.11,572733013,0.00,0.00,30334775296
2024-07-09,DOT-USD,USD,5.94,6.17,5.86,6.11,6.11,202718308,0.17,2.86,5121885696
2024-07-09,ETH-USD,USD,3018.80,3105.80,3005.52,3064.03,3064.03,-1909923362,45.23,1.50,496596582400
2024-07-09,ICP-USD,USD,6.82,7.30,6.76,7.23,7.23,83228910,0.41,6.01,1706506624
2024-07-09,LINK-USD,USD,13.11,13.26,12.75,12.82,12.82,364986619,-0.29,-2.21,12714944512
2024-07-09,LTC-USD,USD,64.87,66.18,64.36,65.32,65.32,227402086,0.45,0.69,7622200832
2024-07-09,MATIC-USD,USD,0.50,0.51,0.49,0.50,0.50,212096516,0.00,0.00,0
2024-07-09,NEAR-USD,USD,4.47,4.59,4.39,4.53,4.53,266482340,0.06,1.34,2972301568
2024-07-09,SOL-USD,USD,139.54,143.93,136.74,141.35,141.35,-1876168594,1.81,1.30,110541570048
2024-07-09,TRX-USD,USD,0.13,0.13,0.13,0.13,0.13,301114203,0.00,0.00,28247525376
2024-07-09,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-09,XRP-USD,USD,0.43,0.44,0.43,0.44,0.44,986003310,0.01,2.33,157739499520
2024-07-10,ADA-USD,USD,0.38,0.39,0.37,0.39,0.39,251166038,0.01,2.63,23967385600
2024-07-10,ATOM-USD,USD,5.94,6.07,5.85,6.04,6.04,92241589,0.10,1.68,1506169472
2024-07-10,AVAX-USD,USD,26.42,27.38,25.66,25.77,25.77,255672807,-0.65,-2.46,8681321472
2024-07-10,BNB-USD,USD,516.63,529.19,511.84,524.52,524.52,1592646761,7.89,1.53,156638248960
2024-07-10,BTC-USD,USD,58033.88,59359.43,57178.41,57742.50,57742.50,405456750,-291.38,-0.50,2272121585664
2024-07-10,DOGE-USD,USD,0.11,0.11,0.11,0.11,0.11,552090147,0.00,0.00,30334775296
2024-07-10,DOT-USD,USD,6.11,6.25,6.06,6.10,6.10,167142776,-0.01,-0.16,5121885696
2024-07-10,ETH-USD,USD,3066.14,3148.41,3026.61,3102.22,3102.22,1693777288,36.08,1.18,496596582400
2024-07-10,ICP-USD,USD,7.23,7.39,7.11,7.21,7.21,53015936,-0.02,-0.28,1706506624
2024-07-10,LINK-USD,USD,12.82,13.14,12.71,12.80,12.80,280522697,-0.02,-0.16,12714944512
2024-07-10,LTC-USD,USD,65.32,67.20,64.58,66.94,66.94,235892135,1.62,2.48,7622200832
2024-07-10,MATIC-USD,USD,0.50,0.51,0.49,0.51,0.51,185236898,0.01,2.00,0
2024-07-10,NEAR-USD,USD,4.53,4.74,4.47,4.63,4.63,207800182,0.10,2.21,2972301568
2024-07-10,SOL-USD,USD,141.37,145.85,138.86,141.97,141.97,1952272010,0.60,0.42,110541570048
2024-07-10,TRX-USD,USD,0.13,0.13,0.13,0.13,0.13,284122579,0.00,0.00,28247525376
2024-07-10,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-10,XRP-USD,USD,0.44,0.44,0.43,0.44,0.44,967522144,0.00,0.00,157739499520
2024-07-11,ADA-USD,USD,0.39,0.40,0.39,0.40,0.40,313288172,0.01,2.56,23967385600
2024-07-11,ATOM-USD,USD,6.04,6.16,5.93,5.94,5.94,101539755,-0.10,-1.66,1506169472
